address,within_academy,#_of_academy_within,within_education_centres,#_of_education_centres_within,within_highschool,#_of_highschool_within,within_elementary school,#_of_elementary school_within,within_college,#_of_college_within,within_learning centre,#_of_learning centre_within,within_university,#_of_university_within,within_subway_station,#_of_subway_station_within,within_cemetery,#_of_cemetery_within,within_green_space,#_of_green_space_within
64-dale-avenue,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,1,1,1,7
31-donofree-road,0,0,1,1,0,0,1,3,0,0,0,0,0,0,0,0,0,0,1,4
127-chandos-avenue,0,0,0,0,0,0,1,3,1,1,0,0,0,0,0,0,1,1,1,13
121-grandview-way,1,2,0,0,1,3,1,2,1,1,0,0,0,0,1,2,1,2,1,21
114-playfair-avenue,1,1,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,1,5
11-harvie-avenue,0,0,0,0,0,0,1,3,1,2,0,0,0,0,0,0,1,1,1,9
64-dale-avenue,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,1,1,1,7
64-dale-avenue,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,1,1,1,7
64-dale-avenue,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,1,1,1,7
9-kimbercroft-court,0,0,1,1,0,0,1,2,0,0,0,0,0,0,0,0,1,1,1,1
8-harold-street,0,0,1,6,0,0,1,1,1,1,0,0,0,0,0,0,1,1,1,5
12-robinson-avenue,1,1,1,1,0,0,1,3,0,0,0,0,0,0,0,0,0,0,1,12
23-mitre-place,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3
2-altamont-road,1,1,1,3,1,3,1,2,0,0,0,0,0,0,0,0,0,0,1,8
5-coltbridge-court,0,0,0,0,0,0,1,6,0,0,0,0,0,0,0,0,0,0,1,5
52-amberdale-drive,0,0,1,1,0,0,1,4,0,0,0,0,0,0,0,0,0,0,1,4
61-laughton-avenue,0,0,1,3,0,0,1,6,0,0,0,0,0,0,0,0,1,1,1,14
1-lynnhaven-road,1,1,1,4,1,1,1,4,0,0,0,0,0,0,1,1,0,0,1,6
