_id,Category,Supporting Ministry,Community,Project,Status,Target Completion Date,Description,Result,Area,Region,Address,Postal Code,Highway / Transit Line,Estimated Total Budget,Municipal Funding,Provincial Funding,Federal Funding,Other Funding,Website,Latitude,Longitude
385,Education,Education,Milton,Martin Street Public Elementary School,Complete,Sep-15,Demolition,Full/Partial demolition of the existing facility,Halton,Central,184 MARTIN ST,L9T 2R4,,637420,,Yes,,,,43.516192,-79.888998
386,Education,Education,Milton,Milton SW 11 Public Elementary School,Under construction,2022,Construction of new school,"New facility to accommodate 908 students in a growing community, including the construction of 88 child care spaces ",Halton,Central,2050 GUELPH LINE,L7P 5A8,,22874946,,Yes,,Yes,,43.48007,-79.85075
387,Education,Education,Milton,Bishop PF Reding Catholic Secondary School,Complete,Sep-21,Expansion of existing school,"New classroom addition of 609 pupil places for a growing school, including 64 child care spaces",Halton,Central,1120 MAIN ST E,L9T 6H7,,20130036,,Yes,,,,43.53094,-79.86268
388,Education,Education,Milton,Milton SW 12 Public Elementary School,Under construction,2023,Construction of new school,"New facility to accommodate 770 students in a growing community, including the construction of 88 child care spaces",Halton,Central,815 KENNEDY CIRCLE WEST,,,23161603,,Yes,,Yes,,43.50217029,-79.83544847
389,Education,Education,Milton,St. Kateri Tekakwitha Catholic Secondary School,Planning,Sep-23,Construction of new school,New facility to accommodate 1611 students in a growing community,Halton,Central,LOUIS ST. LAURENT AVE / KENNEDY CIR,TBD,,43354595,,Yes,,,,,
390,Education,Education,Milton,Milton 10 Catholic Elementary School,Under construction,2022,Construction of new school,"New facility to accommodate 671 students in a growing community, including the construction of 88 child care spaces",Halton,Central,WHITLOCK AVE / KENNEDY CIRCLE W,TBD,,18727105,,Yes,,Yes,,,
391,Education,Education,Milton,Milton SE 13 Public Elementary School,Planning,Sep-26,Construction of new school,"New facility to accommodate 926 students in a growing community, including the construction of 88 child care spaces",Halton,Central,LOUIS ST. LAURENT AVE / TRUDEAU DR,,,24322278,,Yes,,,,43.5184477,-79.82437346
392,Education,Education,Milton,Milton 9 Catholic Elementary School,Planning,2022,Construction of new school,"New facility to accommodate 671 students in a growing community, including the construction of 88 child care spaces",Halton,Central,GORDON KRANTZ AVE / KOVACHIK BLVD,TBD,,17902671,,Yes,,,,,
393,Education,Education,Milton,Milton 11 Catholic Elementary School,Planning,Sep-26,Construction of new school,"New facility to accommodate 763 students in a growing community, including the construction of 88 child care spaces",Halton,Central,TBD,L9T 7V8,,23302526,,Yes,,,,,
394,Education,Education,Mississauga,École élémentaire publique Le Flambeau,Complete,Sep-17,Construction of new school,"New facility to accommodate 366 students in a growing community, including the construction of 49 child care spaces",Peel,Central,600 NOVO STAR DR,L5W 1G4,,17822229,,Yes,,Yes,,43.633195,-79.715793
395,Education,Education,Mississauga,Ruth Thompson Public Elementary School,Complete,Sep-18,Expansion of existing school,New classroom addition of 184 pupil places for a growing school,Peel,Central,5605 FRESHWATER DR,L5M 7M8,,3608434,,Yes,,,,43.55189,-79.7403
396,Education,Education,Mississauga,École élémentaire catholique Mississauga,Planning,Sep-25,Construction of new school,"New facility to accommodate 294 students in a growing community, including the construction of 39 child care spaces",Peel,Central,TBD,TBD,,7436333,,Yes,,,,,
397,Education,Education,Mississauga,Streetsville Public Secondary School,Complete,Sep-16,Renovation of existing school,School renovation as a result of condition of school,Peel,Central,72 JOYMAR DR,L5M 1G3,,7019450,,Yes,,,,43.57918,-79.71922
398,Education,Education,Mississauga,The Woodlands Public Secondary School,Complete,Sep-16,Renovation of existing school,School renovation as a result of condition of school,Peel,Central,3225 ERINDALE STATION RD,L5C 1Y5,,8283015,,Yes,,Yes,,43.56291,-79.64781
399,Education,Education,Mississauga,Glenforest Public Secondary School,Complete,Sep-21,Renovation of existing school,Renovation to improve school condition,Peel,Central,3575 FIELDGATE DR,L4X 2J6,,8200000,,Yes,,,,43.6271,-79.59257
400,Education,Education,Mississauga,TL Kennedy Public Secondary School,Complete,Sep-18,Renovation of existing school,Renovation to improve school condition,Peel,Central,3100 HURONTARIO ST,L5B 1N7,,2500000,,Yes,,,,43.58151,-79.62055
401,Education,Education,Mississauga,Elm Drive Public Elementary School,Under construction,2022,Construction of new school,"New facility to accommodate 650 students in a growing community, including the construction of 73 child care spaces and of 1 EarlyON room",Peel,Central,3492 KARIYA  DR,L5B 0L2,,19773297,,Yes,,Yes,,43.58788,-79.63283
402,Education,Education,Mississauga,Thomas Street Public Elementary School,Planning,Sep-23,Expansion of existing school,New classroom addition of 138 pupil places for a growing school,Peel,Central,2640 THOMAS ST,L5M 5G8,,2859161,,Yes,,,,43.56705273,-79.7256937
403,Education,Education,Mississauga,Ellengale Public Elementary School,Planning,2022,Expansion of existing school,"New classroom addition of 642 pupil places for a growing school, including 73 child care spaces",Peel,Central,3480 ELLENGDALE DR,L5C 1Z7,,16511354,,Yes,,,,43.56361749,-79.65909184
404,Education,Education,Moosonee,Northern Lights Secondary School,Complete,Sep-15,Renovation of existing school,School renovation as a result of condition of school,Cochrane,Northeast,1 PINEW ST,P0L 1Y0,,1176000,,Yes,,,,51.285029,-80.625623
405,Education,Education,Muskoka Lakes,Glen Orchard Public Elementary School,Under construction,2022,Renovation of existing school,"Renovation to address accommodation needs as a result of a consolidation, including 54 child care spaces",Muskoka,Central,3954 MUSKOKA RD 169 RR 1,P0B 1J0,,1016012,,Yes,,Yes,,45.08563,-79.63304
406,Education,Education,New Tecumseth,East Alliston Public Elementary School,Complete,Sep-17,Construction of new school,"New facility to accommodate 461 students in a growing community, including the construction of 39 child care spaces",Simcoe,Central,117 JOHN W TAYLOR AVE,L9R 0E7,,12105319,,Yes,,Yes,,44.16239,-79.85321
407,Education,Education,New Tecumseth,Alliston Catholic Elementary School,Under construction,2022,Construction of new school,"New facility to accommodate 470 students in a growing community, including the construction of 49 child care spaces ",Simcoe,Central,WILLOUGHBY  WAY,,,14977047,,Yes,,Yes,,44.16083,-79.79198
408,Education,Education,New Tecumseth,Banting Memorial Public Secondary School,Planning,2022,Construction of new school,"New replacement facility to accommodate 1288 students, including the construction of 49 child care spaces",Simcoe,Central,SIR FREDERICK BANTING RD / JOHN W TAYLOR AVE,,,41416969,,Yes,,,,44.1645116,-79.84541627
409,Education,Education,New Tecumseth,Tottenham Catholic Elementary School,Planning,Sep-26,Construction of new school,"New facility to accommodate 516 students in a growing community, including the construction of 49 child care spaces",Simcoe,Central,TBD,L0G 1W0,,16311549,,Yes,,,,,
410,Education,Education,Niagara Falls,Forestview Public Elementary School,Complete,Apr-21,Expansion of existing school,"New classroom addition of 184 pupil places for a growing school, including 49 child care spaces",Niagara,Central,8406 FORESTVIEW BLVD,L2H 0B9,,5642773,,Yes,,Yes,,43.08316,-79.13749
411,Education,Education,Niagara Falls,South Niagara Falls Public Elementary School,Planning,Sep-23,Construction of new school,"New facility to accommodate 608 students in a growing community, including the construction of 49 child care spaces",Niagara,Central,KALAR RD / MCLEOD RD,,,15927346,,Yes,,,,43.06994706,-79.13549471
412,Education,Education,Niagara-on-the-Lake,Crossroads Public Elementary School,Complete,Sep-15,Expansion of existing school,New classrooms increase school population to more than 600 kindergarten to Gr. 8 students,Niagara,Central,1350 Niagara Stone Rd,L0S 1J0,,0,,Yes,,,,43.216594,-79.130554
413,Education,Education,Niagara-on-the-Lake,Crossroads Public Elementary School,Complete,Sep-15,Expansion of existing school,New classroom addition of 37 pupil places for a growing school,Niagara,Central,1350 NIAGARA STONE RD,L0S 1J0,,1013989,,Yes,,Yes,,43.2164,-79.1303
414,Education,Education,Norfolk County,Elgin Avenue Public Elementary School,Planning,Sep-24,Expansion of existing school,"New classroom addition of 98 pupil places to accommodate students as a result of a consolidation, including 49 child care spaces and of 1 EarlyON room",Haldimand-Norfolk,Southwest,80 ELGIN AVE,N3Y 4A8,,6180145,,Yes,,,,42.83702,-80.31406
415,Education,Education,Norfolk County,St. Frances Cabrini Catholic Elementary School,Complete,Sep-18,Expansion of existing school,New classroom addition of 49 pupil places to accommodate students as a result of a consolidation,Haldimand-Norfolk,Southwest,373 NORTHERN AVE,N4B 2R4,,1333044,,Yes,,Yes,,42.85253,-80.48872
416,Education,Education,North Bay,Woodland Public Elementary School,Complete,Sep-16,New school built,New facility to accommodate 507 students as a result of a consolidation,Nipissing,Northeast,1325 CEDARGROVE DR,P1B 4S3,,11705652,,Yes,,,,46.329839,-79.479313
417,Education,Education,North Bay,Pinewood Public Elementary School,Complete,Sep-16,Demolition,Full/Partial demolition of the existing facility,Nipissing,Northeast,1325 CEDARGROVE DR,P1B 4S3,,809546,,Yes,,,,46.329832,-79.479063
418,Education,Education,North Bay,Fricker Public Elementary School,Under construction,Sep-23,Construction of new school,"New facility to accommodate 308 students as a result of a consolidation, including the construction of 73 child care spaces and of 1 EarlyON room",Nipissing,Northeast,790 NORMAN AVE,P1B 8C4,,19363537,,Yes,,Yes,,46.32941739,-79.42889455
419,Education,Education,North Bay,Fricker Public Elementary School,Under construction,2022,Demolition,Full/Partial demolition of the existing facility,Nipissing,Northeast,790 NORMAN AVE,P1B 8C4,,408475,,Yes,,,,46.32941739,-79.42889455
420,Education,Education,North Dumfries,Cedar Creek Public Elementary School,Complete,Sep-19,Expansion of existing school,"New classroom addition of 190 pupil places for a growing school, including 72 child care spaces and 3 child and family rooms",Waterloo,Southwest,55 HILLTOP DR,N0B 1E0,,8845721,,Yes,,Yes,,43.28377,-80.44023
421,Education,Education,North Dumfries,St. Brigid Catholic Elementary School,Complete,Sep-17,Construction of new school,"New replacement facility to accommodate 222 students, including the construction of 88 child care spaces",Waterloo,Southwest,50 BROOM ST,N0B 1E0,,8384937,,Yes,,,,43.290658,-80.459902
422,Education,Education,North Dundas,North Dundas District Public Secondary School,Complete,Sep-15,Renovation of existing school,School renovation as a result of condition of school,"Stormont, Dundas and Glengarry",East,12835 HIGHWAY 43,K0C 1H0,,212290,,,,Yes,,45.09167,-75.28655
423,Education,Education,North Frontenac,École élémentaire catholique Notre-Dame-des-Champs,Complete,Sep-15,New school built,New facility to accommodate 366 students in a growing community,Frontenac,East,6280 RENAUD RD,K4B 1H9,,13006574,,Yes,,Yes,,45.432676,-75.509051
424,Education,Education,North Grenville,Kemptville Public Elementary School,Complete,Sep-17,Construction of new school,New facility to accommodate 438 students in a growing community,Leeds and Grenville,East,224 LEEDS AND GRENVILLE 44 RD,K0G 1J0,,13379849,,Yes,,,,44.949636,-75.573915
425,Education,Education,North Grenville,École élémentaire et secondaire publique Rivière Rideau,Complete,Sep-18,Renovation of existing school,School renovation to better serve French-language students,Leeds and Grenville,East,COUNTY RD 44,K0G 1J0,,1500000,,Yes,,,,45.009351,-75.636912
426,Education,Education,North Grenville,North Grenville District Public Secondary School,Complete,Sep-21,Expansion of existing school,New classroom addition of 221 pupil places to accommodate students as a result of consolidation,Leeds and Grenville,East,2605 CONCESSION RD,K0G 1J0,,7273701,,Yes,,,,45.00818276,-75.64679063
427,Education,Education,North Grenville,école élémentaire et secondaire publique Rivière Rideau,Complete,Sep-17,Other,Land Acquisition to accommodate underserved French-language students,Leeds and Grenville,East,51 ACADEMIC CRES,K0G 1J0,,2678100,,Yes,,,,45.00874,-75.63897
428,Education,Education,North Grenville,école élémentaire et secondaire publique Rivière Rideau,Complete,Sep-21,Renovation of existing school,Renovation to accommodate 489 underserved French-language students,Leeds and Grenville,East,51 ACADEMIC  CRES,K0G 1J0,,10105583,,Yes,,,,45.00874,-75.63897
429,Education,Education,North Grenville,école élémentaire et secondaire catholique Notre-Dame,Planning,Sep-26,Construction of new school,"New facility to accommodate 417 underserved French-language students, including the construction of 39 child care spaces",Leeds and Grenville,East,TBD,K0G 1JO,,14915375,,Yes,,,,,
430,Education,Education,North Perth,North Perth Westfield Public Elementary School,Complete,Sep-16,New school built,New facility to accommodate 565 students as a result of a consolidation,Perth,Southwest,955 BINNING ST W,N4W 1H4,,14794249,,Yes,,Yes,,43.74112,-80.96372
431,Education,Education,North Perth,St. Mary's Catholic Secondary School,Complete,Sep-20,Expansion of existing school,"New classroom addition of 49 pupil places for a growing school, including 64 child care spaces and 1 EarlyON room",Perth,Southwest,1209 TREMAINE AVE S RR 4,N4W 3G9,,3937720,,Yes,,,,43.718,-80.95088
432,Education,Education,North Perth,Listowel Eastdale Public Elementary School,Planning,Sep-23,Expansion of existing school,"New classroom addition of 98 pupil places for a growing school, including 49 child care spaces",Perth,Southwest,365 NICHOL AVE S,N4W 2M3,,4263961,,Yes,,,,43.72679,-80.94957
433,Education,Education,North Stormont,Roxmore Public Elementary School,Complete,Sep-21,Expansion of existing school,"New classroom addition of 114 pupil places to accommodate students as a result of a consolidation, including 15 child care spaces","Stormont, Dundas and Glengarry",East,16279 FAIRVIEW DR,K0C 1C0,,3823090,,Yes,,Yes,,45.17018,-74.97279
434,Education,Education,Northern Bruce Peninsula,Bruce Peninsula District Public Elementary and Secondary School,Complete,Sep-18,Renovation of existing school,School renovation to address accommodation needs as a result of a consolidation,Bruce,Southwest,5 MOORE ST,N0H 1W0,,326800,,Yes,,,,44.98509,-81.25083
435,Education,Education,Oakville,Heritage Glen Public Elementary School,Complete,Sep-15,Expansion of existing school,New classrooms add 138 new pupil places for growing school (now roughly 780 students),Halton,Central,1641 Heritage Way,L6M 2Z4,,0,,Yes,,,,43.432079,-79.741798
436,Education,Education,Oakville,St. Gregory the Great Catholic Elementary School,Complete,Sep-16,New school built,New facility to accommodate 671 students in a growing community,Halton,Central,138 SIXTEEN MILE DR,L6M 0T7,,15921314,,Yes,,,,43.476361,-79.737896
437,Education,Education,Oakville,École secondaire publique Gaétan-Gervais,Complete,Sep-17,Construction of new school,New facility to accommodate 392 underserved French-language students,Halton,Central,1055 MCCRANEY ST E,L6H 1H9,,18097892,,Yes,,,,43.46482,-79.70288
438,Education,Education,Oakville,Heritage Glen Public Elementary School,Complete,Sep-15,Expansion of existing school,New classroom addition of 138 pupil places for a growing school,Halton,Central,1641 HERITAGE WAY,L6M 2Z4,,1156153,,Yes,,,,43.43198,-79.74178
439,Education,Education,Oakville,Oodenawi Public Elementary School,Complete,Sep-15,New school built,New facility to accommodate 746 students in a growing community,Halton,Central,385 SIXTEEN MILE DR,L6M 0Z4,,14503807,,Yes,,Yes,,43.471905,-79.744227
440,Education,Education,Oakville,St. Nicholas Catholic Elementary School,Complete,Jan-20,New school built,New facility to accommodate 527 students as a result of a consolidation,Halton,Central,477 WARMINSTER DR,L6L 4N4,,12111775,,Yes,,Yes,,43.42281349,-79.70319132
441,Education,Education,Oakville,Oakville NE 2 Public Elementary School,Complete,Sep-20,New school built,"New facility to accommodate 776 students in a growing community, including the construction of 88 child care spaces ",Halton,Central,3199 POST RD,L6H 7C5,,20746699,,Yes,,Yes,,43.48701,-79.73271
442,Education,Education,Oakville,St. Michael Catholic Elementary School,Complete,Jan-21,Expansion of existing school,"New classroom addition of 23 pupil places to accommodate students as a result of consolidation, including 49 child care spaces",Halton,Central,165 SEWELL DR,L6H 1E3,,3122284,,Yes,,,,43.46316,-79.69535
443,Education,Education,Oakville,St. Joseph Catholic Elementary School,Complete,Sep-18,Demolition,Full/Partial demolition of the existing facility,Halton,Central,477 WARMINSTER DR,L6L 4N4,,413160,,Yes,,,,43.42269,-79.70377
444,Education,Education,Oakville,école secondaire catholique Sainte-Trinité,Under construction,2022,Expansion of existing school,New classroom addition of 180 pupil places for a growing school,Halton,Central,2600 GRAND OAK TRAIL,L6M 0R4,,6590481,,Yes,,Yes,,43.43723822,-79.77364943
445,Education,Education,Oakville,Oakville NE 1 Public Secondary School,Planning,Sep-25,Construction of new school,"New facility to accommodate 1200 students in a growing community, including the construction of 88 child care spaces",Halton,Central,1013 DUNDAS ST W,L6M 4L8,,36531262,,Yes,,,,43.46488301,-79.74606722
446,Education,Education,Oakville,North Oakville 4 Catholic Elementary School,Planning,2023,Construction of new school,New facility to accommodate 671 students in a growing community,Halton,Central,THRESHING MILL BLVD / POSTRIDGE DR,TBD,,14499502,,Yes,,,,,
447,Education,Education,Oakville,Oakville NE 3 Public Elementary School,Planning,Sep-23,Construction of new school,"New facility to accommodate 788 students in a growing community, including the construction of 88 child care spaces",Halton,Central,DUNDAS ST E / PRINCE MICHAEL DR,,,20759973,,Yes,,,,43.49821246,-79.70882834
448,Education,Education,Oakville,Oakville NE 5 Public Elementary School,Planning,Sep-26,Construction of new school,"New facility to accommodate 788 students in a growing community, including the construction of 88 child care spaces",Halton,Central,TBD,L6H 7C8,,23873969,,Yes,,,,,
449,Education,Education,Orangeville,Spencer Avenue Public Elementary School,Complete,Sep-18,Expansion of existing school,New classroom addition of 230 pupil places for a growing school,Dufferin,Central,15 SPENCER AVE,L9W 5E6,,4787456,,Yes,,Yes,,43.8979,-80.12823
450,Education,Education,Orillia,Orillia Public Secondary School,Complete,Sep-15,New school built,New replacement facility to accommodate 1110 students,Simcoe,Central,250 COLLEGIATE DR,L3V 7S5,,30374496,,Yes,,,,44.61232,-79.43422
451,Education,Education,Orillia,Guardian Angels Catholic Elementary School,Complete,Sep-17,Demolition,Full/Partial demolition of the existing facility,Simcoe,Central,125 WEST ST N,L3V 5C4,,437989,,,,Yes,,44.611687,-79.423062
452,Education,Education,Orillia,Notre Dame Catholic Elementary School,Complete,Sep-18,Expansion of existing school,New classroom addition of 407 pupil places for a growing school,Simcoe,Central,140 ATLANTIS DR,L3V 0A8,,856800,,Yes,,,,44.61025,-79.46225
453,Education,Education,Orillia,Orillia Public Elementary School,Planning,Sep-24,Construction of new school,New facility to accommodate 334 students in a growing community,Simcoe,Central,BASS LAKE SIDE RD / ATLANTIS DR,,,9026347,,Yes,,,,44.60999756,-79.46089488
454,Education,Education,Oro-Medonte,Oro Medonte Public Elementary School,Planning,Sep-23,Construction of new school,New facility to accommodate 357 students in a growing community,Simcoe,Central,3331 LINE 4 N,L0L 2L0,,8499522,,Yes,,,,44.5536328,-79.65791738
455,Education,Education,Oro-Medonte,Shanty Bay Public Elementary School,Planning,Sep-25,Construction of new school,New replacement facility to accommodate 190 students,Simcoe,Central,1871 RIDGE RD W,L0L 2L0,,5867921,,Yes,,,,44.41454585,-79.57654972
456,Education,Education,Oshawa,St. Kateri Tekakwitha Catholic Elementary School,Complete,Sep-15,New school built,Accommodates about 400 kindergarten to Gr. 8 students,Durham,Central,1425 Coldstream Dr,L1K 0B5,,0,,Yes,,,,43.944373,-78.854636
457,Education,Education,Oshawa,Vincent Massey Public Elementary School,Complete,Sep-14,Expansion of existing school,New classrooms add 133 new pupil places for growing school (now roughly 420 students),Durham,Central,211 Harmony Rd N,L1G 6L4,,0,,Yes,,,,43.91077,-78.834758
458,Education,Education,Oshawa,Eastdale Public Secondary School,Complete,Sep-18,Expansion of existing school,New classroom addition of 92 pupil places to accommodate students as a result of a consolidation,Durham,Central,265 HARMONY RD N,L1G 6L4,,8573068,,Yes,,Yes,,43.91177,-78.83574
459,Education,Education,Oshawa,Forestview  Public Elementary School,Complete,Sep-16,New school built,New facility to accommodate 553 students in a growing community,Durham,Central,285 GRANDVIEW ST S,L1H 7C6,,10809241,,Yes,,,,43.898036,-78.82045
460,Education,Education,Oshawa,RS McLaughlin Public Secondary School,Complete,Sep-18,Expansion of existing school,"New classroom addition of 60 pupil places to accommodate students as a result of a consolidation, including 73 child care spaces",Durham,Central,570 STEVENSON RD N,L1J 5P1,,4946339,,Yes,,Yes,,43.9076,-78.89081
461,Education,Education,Oshawa,Windfield Farms Public Elementary School,Complete,Sep-18,Construction of new school,"New facility to accommodate 513 students in a growing community, including the construction of 73 child care spaces",Durham,Central,2200 BRIDLE RD,L1L 0L5,,12242513,,Yes,,,,43.95265,-78.892686
462,Education,Education,Oshawa,Elsie MacGill Public Elementary School,Complete,Sep-19,Construction of new school,"New facility to accommodate 519 students in a growing community, including the construction of 73 child care spaces",Durham,Central,800 GREENHILL AVE,L1K 0C8,,12734329,,Yes,,,,43.951186,-78.85746
463,Education,Education,Oshawa,St. Anne Catholic Elementary School,Complete,Sep-20,Construction of new school,"New facility to accommodate 412 students in a growing community, including the construction of 73 child care spaces and of 1 EarlyON room",Durham,Central,2465 BRIDLE RD,L1L 0H9,,13920628,,Yes,,Yes,,43.9656883,-78.89034774
464,Education,Education,Oshawa,Jeanne Sauvé Public Elementary School,Complete,Sep-16,New school built,New facility to accommodate 533 students in a growing community,Durham,Central,950 COLDSTREAM DR,L1K 0X1,,10795685,,Yes,,Yes,,43.945739,-78.856611
465,Education,Education,Oshawa,Monsignor J Pereyma Catholic Secondary School,Complete,Sep-16,Expansion of existing school,Expansion of the gymnasium to accommodate school population,Durham,Central,316 CONANT ST,L1H 3S6,,2092411,,,,Yes,,43.8803,-78.8434
466,Education,Education,Oshawa,Mary Street Public Elementary School,Planning,Sep-23,Expansion of existing school,New classroom addition of 190 pupil places to accommodate students and improve school condition,Durham,Central,110 MARY ST N,L1G 7S2,,5588496,,Yes,,,,43.90135107,-78.86242673
467,Education,Education,Oshawa,Monsignor Paul Dwyer Catholic Secondary School,Planning,Sep-24,Construction of new school,New replacement facility to accommodate 1061 students,Durham,Central,GREENHILL AVE / HARMONY RD N,,,29405627,,Yes,,,,43.951548,-78.85485
468,Education,Education,Oshawa,North Oshawa Public Elementary School,Planning,Sep-23,Construction of new school,"New facility to accommodate 536 students in a growing community, including the construction of 73 child care spaces",Durham,Central,WINDFIELDS FARM DR W / WINTERGRACE AVE,,,14360190,,Yes,,,,43.95723683,-78.914857
469,Education,Education,Oshawa,St. Anne Catholic Elementary School,Planning,Sep-24,Expansion of existing school,New classroom addition of 184 pupil places for a growing school,Durham,Central,2465 BRIDLE RD,L1L 0H9,,4210526,,Yes,,,,43.96078088,-78.89067934
470,Education,Education,Oshawa,North Oshawa Public Secondary School,Planning,Sep-26,Construction of new school,"New facility to accommodate 1,387 students in a growing community",Durham,Central,TBD,L1L 0J9,,46389932,,Yes,,,,,
471,Education,Education,Ottawa,École élémentaire catholique Sainte-Geneviève,Complete,Sep-16,Expansion of existing school,New classroom addition of 308 pupil places for a growing school,Ottawa,East,2198 ARCH ST,K1G 2H7,,9409012,,Yes,,Yes,,45.389172,-75.630613
472,Education,Education,Ottawa,École élémentaire publique Michel-Dupuis,Complete,Sep-16,New school built,New facility to accommodate 366 students in a growing community,Ottawa,East,715 BRIAN GOOD AVE,K4M 1B2,,11032638,,Yes,,Yes,,45.266614,-75.692666
473,Education,Education,Ottawa,École secondaire catholique Mer Bleue,Complete,Sep-16,New school built,New facility to accommodate 881 students in a growing community,Ottawa,East,6401 RENAUD RD,K1W 0H8,,32462104,,Yes,,Yes,,45.435587,-75.503284
474,Education,Education,Ottawa,École intermédiaire et secondaire catholique Paul-Desmarais,Complete,Sep-15,New school built,Accommodates about 740 Gr.7 to 12 students,Ottawa,East,5315 Abbott St E,K2S 0X3,,0,,Yes,,,,45.274447,-75.896757
475,Education,Education,Ottawa,Half Moon Bay Public Elementary School,Complete,Sep-16,New school built,New facility to accommodate 674 students in a growing community,Ottawa,East,3525 RIVER RUN AVE,K2J 3V5,,14049142,,Yes,,Yes,,45.252546,-75.746385
476,Education,Education,Ottawa,Summerside Public Elementary School,Complete,Sep-16,New school built,New facility to accommodate 674 students in a growing community,Ottawa,East,2350 PORTOBELLO BLVD,K4A 0W3,,14049142,,Yes,,Yes,,45.45362,-75.464338
477,Education,Education,Ottawa,Broadview Avenue Public Elementary School,Complete,Sep-16,New school built,New replacement facility to accommodate 782 students,Ottawa,East,535 DOVERCOURT AVE,K2A 2L8,,16127421,,Yes,,Yes,,45.381638,-75.758082
478,Education,Education,Ottawa,Kanata Highlands Public Elementary School,Complete,Sep-16,New school built,New facility to accommodate 628 students in a growing community,Ottawa,East,425 TERRY FOX DR,K2T 0N3,,16366341,,Yes,,Yes,,45.304331,-75.910197
479,Education,Education,Ottawa,Vimy Ridge Public Elementary School,Complete,Sep-17,Construction of new school,"New replacement facility to accommodate 674 students, including the construction of 39 child care spaces",Ottawa,East,4180 KELLY FARM DR,K1T 4H8,,15333355,,Yes,,Yes,,45.316886,-75.601549
480,Education,Education,Ottawa,West Carleton Public Secondary School,Complete,Sep-17,Expansion of existing school,New classroom addition of 252 pupil places for a growing school,Ottawa,East,3088 DUNROBIN RD,K0A 1T0,,7814749,,Yes,,Yes,,45.43432,-76.03509
481,Education,Education,Ottawa,Holy Family Catholic Elementary School,Complete,Sep-17,Renovation of existing school,School renovation to address accommodation needs as a result of a consolidation,Ottawa,East,245 OWL DR,K1V 9K3,,663280,,Yes,,,,45.35352,-75.66371
482,Education,Education,Ottawa,Marchwood Lakeside Catholic Elementary School,Complete,Sep-18,Construction of new school,"New facility to accommodate 461 students in a growing community, including the construction of 39 child care spaces",Ottawa,East,785 GOULBOURN FORCED RD,K2T 0N5,,10696618,,Yes,,,,45.33819,-75.93961
483,Education,Education,Ottawa,St. Benedict Catholic Elementary School,Complete,Sep-16,New school built,New facility to accommodate 507 students in a growing community,Ottawa,East,2525 RIVER MIST RD,K2J 5Z1,,10304976,,Yes,,,,45.24233,-75.73492
484,Education,Education,Ottawa,St. Francis Xavier Catholic Secondary School,Complete,Sep-17,Expansion of existing school,New classroom addition of 436 pupil places for a growing school,Ottawa,East,3740 SPRATT RD,K1V 2M1,,11358799,,Yes,,,,45.28978,-75.67076
485,Education,Education,Ottawa,St. Patrick Catholic Secondary School,Complete,Sep-18,Expansion of existing school,New classroom addition of 276 pupil places to accommodate students as a result of a consolidation,Ottawa,East,2525 ALTA VISTA DR,K1V 7T3,,7956731,,Yes,,,,45.37795,-75.65996
486,Education,Education,Ottawa,Holy Redeemer Catholic Elementary School,Complete,Sep-19,Expansion of existing school,New classroom addition of 230 pupil places for a growing school,Ottawa,East,75 MCCURDY DR,K2L 3W6,,5074349,,Yes,,,,45.30341,-75.90064
487,Education,Education,Ottawa,École élémentaire publique de Kanata,Complete,Sep-16,Expansion of existing school,New classroom addition of 374 pupil places for a growing school,Ottawa,East,1385 HALTON TERR,K2K 2P9,,8106933,,Yes,,Yes,,45.3485,-75.9367
488,Education,Education,Ottawa,École secondaire publique Louis-Riel,Complete,Sep-18,Expansion of existing school,New classroom addition of 252 pupil places to accommodate students as a result of condition,Ottawa,East,1655 BEARBROOK RD,K1B 4N3,,8001336,,Yes,,Yes,,45.4411,-75.5716
489,Education,Education,Ottawa,École secondaire publique de la Salle,Complete,Sep-21,Expansion of existing school,New classroom addition of 210 pupil places for a growing school,Ottawa,East,501 OLD ST. PATRICK ST,K1N 8R3,,13317727,,Yes,,Yes,,45.43495,-75.68489
490,Education,Education,Ottawa,école secondaire publique Pierre-des-Bois,Complete,Sep-21,Construction of new school,New facility to accommodate 681 students in a growing community,Ottawa,East,1310 CHAPMAN MILLS WALK,K2J 6L9,,23347053,,Yes,,Yes,,45.26297,-75.75893
491,Education,Education,Ottawa,École élémentaire catholique George-Étiennes-Cartier,Complete,Sep-16,Expansion of existing school,Minor school addition and renovation to accommodate a child care centre,Ottawa,East,880 THORNDALE DR,K1V 6Y3,,3281912,,,,Yes,,45.36354,-75.67206
492,Education,Education,Ottawa,École élémentaire catholique Horizon-Jeunesse,Complete,Jan-20,Construction of new school,"New facility to accommodate 350 students as a result of a consolidation, including the construction of 49 child care spaces",Ottawa,East,349 OLMSTEAD ST,K1L 1B1,,15463703,,Yes,,Yes,,45.4323483,-75.6605439
493,Education,Education,Ottawa,École élémentaire catholique Notre-Place,Complete,Sep-16,New school built,New facility to accommodate 412 students in a growing community,Ottawa,East,665 DES AUBEPINES DR,K4A 0Z3,,14699654,,Yes,,Yes,,45.44741,-75.4844
494,Education,Education,Ottawa,École secondaire catholique Pierre-Savard,Complete,Sep-16,Expansion of existing school,New classroom addition of 254 pupil places for a growing school,Ottawa,East,1110 LONGFIELDS DR,K2J 0H9,,4390871,,Yes,,,,45.27313,-75.73751
